Teacher Name,Room Number,Grade,Group number,Names of students in this group (first and last),Art Workshops 1,Art Workshops 2,Art Workshops 3,Art Workshops 4,Science Workshop 1,Science Workshop 2,Science Workshop 3,Science Workshop 4,Presenter Kids
Samuel,313,2,Group 1,"Ryan King, Austin Klein, Elizabeth Mitchell, Jackson Roberts",A25 - Dumpling Dreams with Teachers Joli and Rosella (K-2),A24 - Balloon-ology 101 (2-5),A10 - Stressed Out Balloons (K-5),A16 - The Playspace: Theater Games (K-2),S4 - STEMful: Building a coral reef (K-2),S24 - Glow Party! (K-3),S3 - Exploring the Microscopic with the Randall Museum (K-5),S7 - States of Matter: Making Ice Cream (K-5),
Samuel,313,2,Group 2,"Victoria Adams, Scarlett Kumar, Alexander Lee, Joseph Anderson",A10 - Stressed Out Balloons (K-5),A24 - Balloon-ology 101 (2-5),A14 - Make a Whirligig (K-5),A19 - Taiko (K-5),S23 - Magnetic Slime (K-5),S25 - Potion Making (K-5),S11 - Ice Cream Making (K-5),S12 - Eye-mazing Science: From Light to Sight and Optical Tricks (K-2),
Samuel,313,2,Group 3,"Wyatt Anderson, Claire Roberts, Adrian Liu, Scarlett Wu",A19 - Taiko (K-5),A14 - Make a Whirligig (K-5),A3 - SFPL: Mini Bookmaking (K-5),A10 - Stressed Out Balloons (K-5),S25 - Potion Making (K-5),S11 - Ice Cream Making (K-5),S23 - Magnetic Slime (K-5),S6 - Air Rockets (K-5),S11 S1
Samuel,313,2,Group 4,"Lucas Torres, William Carter, Lucy Jackson, Jackson Li",A7 - Fire Engine Explore (K-2),A8 - Karate with Zanshin Dojo Martial Arts (K-5),A2 - Hip Hop with Dance Mission Theater (K-5),A10 - Stressed Out Balloons (K-5),S15 - Toy Car Launcher and String Telephone (K-5),S23 - Magnetic Slime (K-5),S11 - Ice Cream Making (K-5),S6 - Air Rockets (K-5),
Samuel,313,2,Group 5,"Connor Park, Sarah Anderson, Eli Flores, Sofia Ryan, Dominic Choi",A25 - Dumpling Dreams with Teachers Joli and Rosella (K-2),A3 - SFPL: Mini Bookmaking (K-5),A7 - Fire Engine Explore (K-2),A16 - The Playspace: Theater Games (K-2),S25 - Potion Making (K-5),S23 - Magnetic Slime (K-5),S4 - STEMful: Building a coral reef (K-2),S24 - Glow Party! (K-3),
Isaac,107,1,Group 1,"Adam Walsh, Paisley Roberts, Lily Gustafsson, Victoria Sharma, Jeremiah Garcia",A14 - Make a Whirligig (K-5),A22 - Percussion with Teacher Janie Hsiao (K-2),A3 - SFPL: Mini Bookmaking (K-5),A10 - Stressed Out Balloons (K-5),S8 - Marble Run (K-2),S7 - States of Matter: Making Ice Cream (K-5),S2 - Dolphin Project: All About Dolphins (K-5),S18 - Baking Soda Experiences: From Fizz to Flying (K-2),
Isaac,107,1,Group 2,"Jacob Gonzalez, Amelia Hernandez, Alexander Rivera, Xavier Thomas",A16 - The Playspace (K-2),A14 - Make a Whirligig (K-5),A22 - Percussion with Teacher Janie Hsiao (K-2),A25 - Dumpling Dreams with Joli and Rosella (K-2),S1 - Soda Geysers (K-5),S8 - Marble Run (K-2),S18 - Baking Soda Experiences: From Fizz to Flying (K-2),S21 - Physics of Soccer by Beach Chalet Soccer (K-5),
Isaac,107,1,Group 3,"Eli Gustafsson, Sarah Eriksson, Harper Clark, Paisley Katz, Riley Campbell, Lucas Roberts",A8 - Karate with Zanshin Dojo Martial Arts (K-5),A10 - Stressed Out Balloons (K-5),A14 - Make a Whirligig (K-5),A24 - Balloon-ology 101 (2-5),S22 - Wild Wacky Animal Names with The Screaming Hairy Armadillo (K-5),S11 - Ice Cream Making (K-5),S12 - Eye-mazing Science: From Light to Sight and Optical Tricks (K-2),S1 - Soda Geysers (K-5),
Isaac,107,1,Group 4,"Zoey Yang, Lucas Patel, Harper Park, Samuel Baker",A8 - Karate with Zanshin Dojo Martial Arts (K-5),A10 - Stressed Out Balloons (K-5),A25 - Dumpling Dreams with Joli and Rosella (K-2),A14 - Make a Whirligig (K-5),S8 - Marble Run (K-2),S7 - States of Matter: Making Ice Cream (K-5),S1 - Soda Geysers (K-5),S12 - Eye-mazing Science: From Light to Sight and Optical Tricks (K-2),
Isaac,107,1,Group 5,"Adam Hernandez, Ian Johnson, Austin Katz, Lucas Hall",A24 - Balloon-ology 101 (2-5),A25 - Dumpling Dreams with Joli and Rosella (K-2),A3 - SFPL: Mini Bookmaking (K-5),A8 - Karate with Zanshin Dojo Martial Arts (K-5),S8 - Marble Run (K-2),S6 - Air Rockets (K-5),S11 - Ice Cream Making (K-5),S12 - Eye-mazing Science: From Light to Sight and Optical Tricks (K-2),
Ava,109,1,Group 1,"Xavier Roberts, Clara O'Brien, Jacob Ryan, Scarlett Zhang, Evelyn Wilson",A2 - Hip Hop with Dance Mission Theater (K-5),A15 - Step into Garba: An Intro to Indian Folk Dance (K-5),A25 - Dumpling Dreams with Joli and Rosella (K-2),A11 - Peace Party! (K-2),S3 - Exploring the Microscopic with the Randall Museum (K-5),S4 - STEMful: Building a Coral Reef (K-2),S11 - Ice Cream Making (K-5),S15 - Toy Car Launcher and String Telephone (K-5),
Ava,109,1,Group 2,"Eva Goldberg, Riley Yang, Paisley Karlsson, Naomi Davis, Elizabeth O'Connor, Robert Liu",A1 - Optical Illusions with Teacher Ben & Saya (3-5),A6 - Physical Education by Push Academy (K-5),A19 - Taiko (K-5),A16 - The Playspace: Theater Games (K-2),S4 - STEMful: Building a coral reef (K-2),S7 - States of Matter: Making Ice Cream (K-5),S12 - Eye-mazing Science: From Light to Sight and Optical Tricks (K-2),S24 - Glow Party! (K-3),
Ava,109,1,Group 3,"Connor Lopez, Carter Mitchell, James Shah, Connor O'Connor, Daniel Martin, Lily Taylor",A3 - SFPL: Mini Bookmaking (K-5),A7 - Fire Engine Explore (K-2),A14 - Make a Whirligig (K-5),A22 - Percussion with Teacher Janie Hsiao (K-2),S1 - Soda Geysers (K-5),S8 - Marble Run (K-2),S18 - Baking Soda Experiences: From Fizz to Flying (K-2),S23 - Magnetic Slime (K-5),S7
Ava,109,1,Group 4,"Caleb Mitchell, Cameron Karlsson, Wyatt Nguyen, Adam Smith, Luna Sharma",A2 - Hip Hop with Dance Mission Theater (K-5),A6 - Physical Education by Push Academy (K-5),A11 - Peace Party! (K-2),A16 - The Playspace: Theater Games (K-2),S12 - Eye-mazing Science: From Light to Sight and Optical Tricks (K-2),S1 - Soda Geysers (K-5),S22 - Wild Wacky Animal Names with The Screaming Hairy Armadillo (K-5),S28 - Tree Frog Treks (K-2),
Daniel,207,4,Group 4,"Dylan Levy, Skylar Moore, Riley Jones, Riley Park, Hazel Roberts",A1 - Optical Illusions with Teacher Ben & Saya (3-5),A14 - Make a Whirligig (K-5),A6 - Physical Education by Push Academy (K-5),A10 - Stressed Out Balloons (K-5),S11 - Ice Cream Making (K-5),S10 - Water Rockets (3-5),S24 - Glow Party! (K-3),S29 - Tree Frog Treks (3-5),
Sofia,207,4,Group 1,"Aaron Eriksson, Carter Taylor, Gabriel Wang, David Holm, Chloe Svensson",A14 - Make a Whirligig (K-5),A1 - Optical Illusions with Teacher Ben & Saya (3-5),A4 - Rock Band Land's Big Guy Thunder (3-5),A10 - Stressed Out Balloons (K-5),S1 - Soda Geysers (K-5),S6 - Air Rockets (K-5),S23 - Magnetic Slime (K-5),S25 - Potion Making (K-5),
Zoey,207,4,Group 2,"Alice Taylor, Victoria Katz, Anna Sharma",A4 - Rock Band Land's Big Guy Thunder (3-5),A8 - Karate with Zanshin Dojo Martial Arts (K-5),A14 - Make a Whirligig (K-5),A17 - The Playspace: Theater Games (3-5),S5 - STEMful: Candy DNA Helix (3-5),S6 - Air Rockets (K-5),S19 - Baking Soda Experiences: From Fizz to Flying (3-5),S29 - Tree Frog Treks (3-5),
Sofia,207,4,Group 5,"Adam Liu, Riley Berg, Aurora Ramirez, Hannah Hall",A10 - Stressed Out Balloons (K-5),A19 - Taiko (K-5),A14 - Make a Whirligig (K-5),A3 - SFPL: Mini Bookmaking (K-5),S11 - Ice Cream Making (K-5),S23 - Magnetic Slime (K-5),S7 - States of Matter: Making Ice Cream (K-5),S9 - Marble Run (3-5),
Henry,207,4,Group 6,"Adrian Carter, Eva Liu, Ruby Olsson, Zoey Baker",A14 - Make a Whirligig (K-5),A19 - Taiko (K-5),A10 - Stressed Out Balloons (K-5),A5 - Chess Challenge! by Academic Chess (K-5),S1 - Soda Geysers (K-5),S10 - Water Rockets (3-5),S11 - Ice Cream Making (K-5),S23 - Magnetic Slime (K-5),
Lily,209,4/5,Group 1,"Paisley Roberts, Cameron Kelly, Violet Mitchell, Aaron Goldberg, Daniel Martin",A10 - Stressed Out Balloons (K-5),A14 - Make a Whirligig (K-5),A15 - Step into Garba: An Intro to Indian Folk Dance (K-5),A19 - Taiko (K-5),S5 - STEMful: Candy DNA Helix (3-5),S13 - Eye-mazing Science: From Light to Sight and Optical Tricks (3-5),S2 - Dolphin Project: All About Dolphins (K-5),S9 - Marble Run (3-5),S13
Zoey,105,1,Group 1,"Robert Thompson, Nicholas Schwartz, Nova Huang, Bella Kumar, Lily Gupta, Maya Jones",A3 - SFPL: Mini Bookmaking (K-5),A1 - Optical Illusions with Teacher Ben & Saya (3-5),A11 - Peace Party! (K-2),A19 - Taiko (K-5),S7 - States of Matter: Making Ice Cream (K-5),S6 - Air Rockets (K-5),S8 - Marble Run (K-2),S12 - Eye-mazing Science: From Light to Sight and Optical Tricks (K-2),
Zoey,105,1,Group 2,"Kevin Clark, Bella Wilson, Violet Klein, Nova Gonzalez, Adam Johnson",A2 - Hip Hop with Dance Mission Theater (K-5),A6 - Physical Education by Push Academy (K-5),A16 - The Playspace: Theater Games (K-2),A25 - Dumpling Dreams with Joli and Rosella (K-2),S4 - STEMful: Building a coral reef (K-2),S2 - Dolphin Project: All About Dolphins (K-5),S1 - Soda Geysers (K-5),S15 - Toy Car Launcher and String Telephone (K-5),
Zoey,105,1,Group 3,"Kyle Martinez, Sarah Carter, Eva Berg, Austin Campbell, Claire Kumar, Ella Stern",A7 - Fire Engine Explore (K-2),A8 - Karate with Zanshin Dojo Martial Arts (K-5),A11 - Peace Party! (K-2),A14 - Make a Whirligig (K-5),S23 - Magnetic Slime (K-5),S6 - Air Rockets (K-5),S7 - States of Matter: Making Ice Cream (K-5),S25 - Potion Making (K-5),
Zoey,105,1,Group 4,"Dylan Allen, Luke Clark, Aurora Torres, Robert Jackson, Wyatt Nilsson",A16 - The Playspace (K-2),A8 - Karate with Zanshin Dojo Martial Arts (K-5),A19 - Taiko (K-5),A25 - Dumpling Dreams with Joli and Rosella (K-2),S28 - Tree Frog Treks (K-2),S23 - Magnetic Slime (K-5),S20 - Exploring the Microscopic World (K-5),S12 - Eye-mazing Science: From Light to Sight and Optical Tricks (K-2),
Lily,209,4/5,Group 2,"Theodore Olsson, Eleanor Goldberg, James Kelly, Maya Gupta, Maya Taylor, Gabriel Larsson",A8 - Karate with Zanshin Dojo Martial Arts (K-5),A1 - Optical Illusions with Teacher Ben & Saya (3-5),A24 - Balloon-ology 101 (2-5),A4 - Rock Band Land's Big Guy Thunder (3-5),S11 - Ice Cream Making (K-5),S7 - States of Matter: Making Ice Cream (K-5),S21 - Physics of Soccer by Beach Chalet Soccer (K-5),S9 - Marble Run (3-5),
Lily,209,4/5,Group 3,"Eva Sanchez, Isabella Ramirez, Robert Wright, Thomas Smith, Adam White",A3 - SFPL: Mini Bookmaking (K-5),A13 - Yoga to Calm your Mind (3-5),A17 - The Playspace: Theater Games (3-5),A8 - Karate with Zanshin Dojo Martial Arts (K-5),S10 - Water Rockets (3-5),S25 - Potion Making (K-5),S11 - Ice Cream Making (K-5),S9 - Marble Run (3-5),
Lily,209,4/5,Group 4,"Xavier Young, Naomi Thomas, Emily McCarthy, Daniel White, Avery Perez, Luke Williams",A8 - Karate with Zanshin Dojo Martial Arts (K-5),A6 - Physical Education by Push Academy (K-5),A5 - Chess Challenge! by Academic Chess (K-5),A10 - Stressed Out Balloons (K-5),S19 - Baking Soda Experiences: From Fizz to Flying (3-5),S23 - Magnetic Slime (K-5),S29 - Tree Frog Treks (3-5),S25 - Potion Making (K-5),
Anthony,214,4,Group 1,"Lucas Robinson, Isabella Li, Joseph Svensson, Kevin Wright, Sarah Huang, Henry Ryan",A1 - Optical Illusions with Teacher Ben & Saya (3-5),A10 - Stressed Out Balloons (K-5),A3 - SFPL: Mini Bookmaking (K-5),A13 - Yoga to Calm your Mind (3-5),S5 - STEMful: Candy DNA Helix (3-5),S7 - States of Matter: Making Ice Cream (K-5),S7 - States of Matter: Making Ice Cream (K-5),S23 - Magnetic Slime (K-5),
Anthony,214,4,Group 2,"Ethan Johnson, Thomas Cho, Eva Hernandez, Julia Hernandez, Nathan Moore",A1 - Optical Illusions with Teacher Ben & Saya (3-5),A10 - Stressed Out Balloons (K-5),A14 - Make a Whirligig (K-5),A3 - SFPL: Mini Bookmaking (K-5),S5 - STEMful: Candy DNA Helix (3-5),S11 - Ice Cream Making (K-5),S6 - Air Rockets (K-5),S9 - Marble Run (3-5),
Anthony,214,4,Group 3,"Elijah Rosen, Cameron Byrne, Nicholas Jackson, William Harris, Sophia Wright",A4 - Rock Band Land's Big Guy Thunder (3-5),A14 - Make a Whirligig (K-5),A10 - Stressed Out Balloons (K-5),A17 - The Playspace: Theater Games (3-5),S5 - STEMful: Candy DNA Helix (3-5),S26 - DIY Tote Bags by SF Environment (3-5),S7 - States of Matter: Making Ice Cream (K-5),S14 - Magnetic Magic (3-5),S19
Anthony,214,4,Group 4,"Skylar Nguyen, Riley Nelson, Bella Larsson, Amelia Johnson, Theodore Jones, Evelyn White",A14 - Make a Whirligig (K-5),A24 - Balloon-ology 101 (2-5),A1 - Optical Illusions with Teacher Ben & Saya (3-5),A10 - Stressed Out Balloons (K-5),S1 - Soda Geysers (K-5),S23 - Magnetic Slime (K-5),S2 - Dolphin Project: All About Dolphins (K-5),S29 - Tree Frog Treks (3-5),
Anthony,214,4,Group 5,"Gabriel Carter, Elizabeth Lee, Riley Sanchez, Riley Miller, Oliver Katz, Adrian King",A2 - Hip Hop with Dance Mission Theater (K-5),A14 - Make a Whirligig (K-5),A12 - Peace Party! (3-5),A10 - Stressed Out Balloons (K-5),S11 - Ice Cream Making (K-5),S23 - Magnetic Slime (K-5),S26 - DIY Tote Bags by SF Environment (3-5),S14 - Magnetic Magic (3-5),
Daniel,207,4,Group 3,"Bella Walsh, Jeremiah Kim, Dylan Ramirez, Abigail Green",A8 - Karate with Zanshin Dojo Martial Arts (K-5),A4 - Rock Band Land's Big Guy Thunder (3-5),A10 - Stressed Out Balloons (K-5),A17 - The Playspace: Theater Games (3-5),S23 - Magnetic Slime (K-5),S11 - Ice Cream Making (K-5),S1 - Soda Geysers (K-5),S26 - DIY Tote Bags by SF Environment (3-5),
Luke,312,3,Group 1,"Julia Ryan, Robert Torres, Elizabeth Martin, Ian Robinson, Luke Hernandez, Eli Sharma",A1 - Optical Illusions with Teacher Ben & Saya (3-5),A4 - Rock Band Land's Big Guy Thunder (3-5),A10 - Stressed Out Balloons (K-5),A13 - Yoga to Calm your Mind (3-5),S5 - STEMful: Candy DNA Helix (3-5),S10 - Water Rockets (3-5),S1 - Soda Geysers (K-5),S23 - Magnetic Slime (K-5),S10
Luke,312,3,Group 2,"Adam Anderson, Rose Nguyen, Zoey Gupta, James Sanchez, Mason Klein",A10 - Stressed Out Balloons (K-5),A13 - Yoga to Calm your Mind (3-5),A24 - Balloon-ology 101 (2-5),A4 - Rock Band Land's Big Guy Thunder (3-5),S29 - Tree Frog Treks (3-5),S24 - Glow Party! (K-3),S19 - Baking Soda Experiences: From Fizz to Flying (3-5),S7 - States of Matter: Making Ice Cream (K-5),A18
Liam,Room 316,2,Group 1,"Nora Rodriguez, Adrian Huang, Gabriel O'Brien, Victoria Sanchez, Aurora Wu",A7 - Fire Engine Explore (K-2),A8 - Karate with Zanshin Dojo Martial Arts (K-5),A15 - Step into Garba: An Intro to Indian Folk Dance (K-5),A25 - Dumpling Dreams with Joli and Rosella (K-2),S11 - Ice Cream Making (K-5),S21 - Physics of Soccer by Beach Chalet Soccer (K-5),S23 - Magnetic Slime (K-5),S25 - Potion Making (K-5),
Liam,316,2,Group 2,"James Kim, Paisley Huang, Joseph Gonzalez, William Choi, Jonathan Campbell",A11 - Peace Party! (K-2),A14 - Make a Whirligig (K-5),A25 - Dumpling Dreams with Joli and Rosella (K-2),A16 - The Playspace: Theater Games (K-2),S1 - Soda Geysers (K-5),S4 - STEMful: Building a Coral Reef (K-2),S11 - Ice Cream Making (K-5),S25 - Potion Making (K-5),
Liam,316,2,Group 3,"Violet Levy, Evelyn Brown, Rose Lopez, Violet Sanchez",A8 - Karate with Zanshin Dojo Martial Arts (K-5),A11 - Peace Party! (K-2),A20 - SF Ballet (K-2),A22 - Percussion with Teacher Janie Hsiao (K-2),S1 - Soda Geysers (K-5),S7 - States of Matter: Making Ice Cream (K-5),S23 - Magnetic Slime (K-5),S25 - Potion Making (K-5),
Liam,Room 316,2,Group 4,"Kevin Ramirez, Ruby Gupta, Alexander Murphy, Samuel Hall",A7 - Fire Engine Explore (K-2),A8 - Karate with Zanshin Dojo Martial Arts (K-5),A20 - SF Ballet (K-2),A25 - Dumpling Dreams with Joli and Rosella (K-2),S6 - Air Rockets (K-5),S11 - Ice Cream Making (K-5),S23 - Magnetic Slime (K-5),S25 - Potion Making (K-5),
Liam,316,2,Group 5,"Emilia Nilsson, Aaron Davis, Charlotte Harris, Nora Klein",A5 - Chess Challenge! by Academic Chess (K-5),A16 - The Playspace: Theater Games (K-2),A25 - Dumpling Dreams with Joli and Rosella (K-2),A24 - Balloon-ology 101 (2-5),S4 - STEMful: Building a coral reef (K-2),S7 - States of Matter: Making Ice Cream (K-5),S8 - Marble Run (K-2),S25 - Potion Making (K-5),
Penelope,205,5,Group 1,"Paisley Sanchez, Jackson O'Neill, Aaron Karlsson, Clara Thompson, Grace Holm",A1 - Optical Illusions with Teacher Ben & Saya (3-5),A10 - Stressed Out Balloons (K-5),A17 - The Playspace: Theater Games (3-5),A24 - Balloon-ology 101 (2-5),S1 - Soda Geysers (K-5),S7 - States of Matter: Making Ice Cream (K-5),S11 - Ice Cream Making (K-5),S29 - Tree Frog Treks (3-5),
Victoria,206,4/5,Group 1,"Chloe Robinson, Zoey Zhang, Gabriel Murphy, Joseph Goldberg, Dominic Zhang",A4 - Rock Band Land's Big Guy Thunder (3-5),A10 - Stressed Out Balloons (K-5),A24 - Balloon-ology 101 (2-5),A6 - Physical Education by Push Academy (K-5),S23 - Magnetic Slime (K-5),S29 - Tree Frog Treks (3-5),S5 - STEMful: Candy DNA Helix (3-5),S11 - Ice Cream Making (K-5),
Penelope,205,5,Group 2,"Abigail Klein, Naomi Friedman, Ruby Davis, Victoria Wang, Jeremiah Holm, Anna Martinez",A1 - Optical Illusions with Teacher Ben & Saya (3-5),A10 - Stressed Out Balloons (K-5),A13 - Yoga to Calm your Mind (3-5),A24 - Balloon-ology 101 (2-5),S10 - Water Rockets (3-5),S14 - Magnetic Magic (3-5),S23 - Magnetic Slime (K-5),S24 - Glow Party! (K-3),S14
Isabella,318,2,Group 1,"Daniel Katz, Benjamin Cho, Daniel Singh, Jonathan Clark",A2 - Hip Hop with Dance Mission Theater (K-5),A10 - Stressed Out Balloons (K-5),A5 - Chess Challenge! by Academic Chess (K-5),A16 - The Playspace: Theater Games (K-2),S2 - Dolphin Project: All About Dolphins (K-5),S11 - Ice Cream Making (K-5),S15 - Toy Car Launcher and String Telephone (K-5),S23 - Magnetic Slime (K-5),S15 A2
Isabella,318,2,Group 2,"Dominic Gupta, Owen Smith, Mia O'Connor, Emily Gustafsson, Ryan Gupta",A10 - Stressed Out Balloons (K-5),A19 - Taiko (K-5),A24 - Balloon-ology 101 (2-5),A25 - Dumpling Dreams with Joli and Rosella (K-2),S7 - States of Matter: Making Ice Cream (K-5),S21 - Physics of Soccer by Beach Chalet Soccer (K-5),S23 - Magnetic Slime (K-5),S25 - Potion Making (K-5),S15 A24
Penelope,205,5,Group 3,"Nova Holm, Mason Park, Austin Lewis, Abigail Cho, Wyatt Anderson, Sophia Wilson",A10 - Stressed Out Balloons (K-5),A19 - Taiko (K-5),A24 - Balloon-ology 101 (2-5),A25 - Dumpling Dreams with Joli and Rosella (K-2),S5 - STEMful: Candy DNA Helix (3-5),S11 - Ice Cream Making (K-5),S23 - Magnetic Slime (K-5),S29 - Tree Frog Treks (3-5),
Charlotte,206,4/5,Group 2,"Avery Holm, James Stern, Xavier Holm, Connor Scott, Josiah Baker, Clara Levy",A17 - The Playspace (3-5),A1 - Optical Illusions with Teacher Ben & Saya (3-5),A15 - Step into Garba: An Intro to Indian Folk Dance (K-5),A14 - Make a Whirligig (K-5),S6 - Air Rockets (K-5),S29 - Tree Frog Treks (3-5),S5 - STEMful: Candy DNA Helix (3-5),S23 - Magnetic Slime (K-5),A17 S23
Isabella,318,2,Group 3,"Grace Martin, Madison Roberts, Skylar Young, Ella Wilson, Ethan Murphy, Mason Garcia",A8 - Karate with Zanshin Dojo Martial Arts (K-5),A10 - Stressed Out Balloons (K-5),A19 - Taiko (K-5),A25 - Dumpling Dreams with Joli and Rosella (K-2),S4 - STEMful: Building a coral reef (K-2),S11 - Ice Cream Making (K-5),S15 - Toy Car Launcher and String Telephone (K-5),S23 - Magnetic Slime (K-5),A24
Penelope,205,5,Group 4,"Kevin Brown, Nicholas Roberts, Aurora Hill, Luna Holm, Violet Schwartz",A10 - Stressed Out Balloons (K-5),A17 - The Playspace: Theater Games (3-5),A19 - Taiko (K-5),A24 - Balloon-ology 101 (2-5),S9 - Marble Run (3-5),S11 - Ice Cream Making (K-5),S23 - Magnetic Slime (K-5),S29 - Tree Frog Treks (3-5),
Penelope,205,5,Group 5,"Xavier O'Brien, Sebastian Huang, Connor Perez, William Nguyen, Charlotte Scott, Rose Mitchell",A1 - Optical Illusions with Teacher Ben & Saya (3-5),A8 - Karate with Zanshin Dojo Martial Arts (K-5),A10 - Stressed Out Balloons (K-5),A17 - The Playspace: Theater Games (3-5),S6 - Air Rockets (K-5),S11 - Ice Cream Making (K-5),S21 - Physics of Soccer by Beach Chalet Soccer (K-5),S23 - Magnetic Slime (K-5),
Charlotte,206,4/5,Group 3,"Samuel Kim, Chloe Flores, Joseph Eriksson, Avery Svensson, Thomas Harris, Cameron Flores",A4 - Rock Band Land's Big Guy Thunder (3-5),A12 - Peace Party! (3-5),A24 - Balloon-ology 101 (2-5),A8 - Karate with Zanshin Dojo Martial Arts (K-5),S23 - Magnetic Slime (K-5),S2 - Dolphin Project: All About Dolphins (K-5),S5 - STEMful: Candy DNA Helix (3-5),S25 - Potion Making (K-5),A12
Isabella,318,2,Group 4,"Sophia Katz, Michael Campbell, Lily Kumar, Elizabeth Roberts, Ella Klein",A10 - Stressed Out Balloons (K-5),A11 - Peace Party! (K-2),A20 - SF Ballet (K-2),A19 - Taiko (K-5),S23 - Magnetic Slime (K-5),S11 - Ice Cream Making (K-5),S25 - Potion Making (K-5),S18 - Baking Soda Experiences: From Fizz to Flying (K-2),S7
