Teacher Name,Room Number,Grade,Group number,Names of students in this group (first and last),Art Workshops 1,Art Workshops 2,Art Workshops 3,Art Workshops 4,Science Workshop 1,Science Workshop 2,Science Workshop 3,Science Workshop 4,Presenter Kids
Chloe,109,1,Group 4,"Layla Mitchell, Josiah Cho, David Gustafsson, Kyle Karlsson, Audrey Moore",A2 ,A6 ,A11,A16,S12,S1 ,S22,S28,
Lucas,207,4,Group 4,"Adrian Anderson, Victoria Campbell, Sarah Kim, Alice Johnson, Adam Torres",A1 ,A14,A6 ,A10,S11,S10,S24,S29,
Sebastian,207,4,Group 1,"Maya Li, Jacob Olsson, Jackson Friedman, Sofia O'Brien, Adrian Katz",A14,A1 ,A4 ,A10,S1 ,S6 ,S23,S25,
Zoey,207,4,Group 2,"Carter Larsson, Eli King, Mia Flores",A4 ,A8 ,A14,A17,S5 ,S6 ,S19,S29,
Sebastian,207,4,Group 5,"Alice Miller, Ava Williams, William Lopez, Robert Rivera",A10,A19,A14,A3 ,S11,S23,S7 ,S9 ,
Samuel,207,4,Group 6,"Alexander Hall, Eva Taylor, Nicholas Cho, Austin Chen",A14,A19,A10,A5 ,S1 ,S10,S11,S23,
Anthony,209,4/5,Group 1,"Alexander Jones, Ella Rodriguez, David Yang, Nora O'Neill, Samuel Allen",A10,A14,A15,A19,S5 ,S13,S2 ,S9 ,S13
Owen,105,1,Group 1,"Mason Thompson, Isaac Yang, Isaac Miller, Jackson Allen, Riley Johnson, Madison Klein",A3 ,A1 ,A11,A19,S7 ,S6 ,S8 ,S12,
Owen,105,1,Group 2,"Eva Anderson, Hannah Rosen, Anna Choi, Kevin Kumar, Riley Roberts",A2 ,A6 ,A16,A25,S4 ,S2 ,S1 ,S15,
Owen,105,1,Group 3,"Rose Svensson, Layla Anderson, Lily Hall, Josiah Karlsson, Michael Gustafsson, Hannah Baker",A7 ,A8 ,A11,A14,S23,S6 ,S7 ,S25,
Owen,105,1,Group 4,"Xavier O'Neill, Sofia Young, Mia Svensson, Paisley Anderson, Aaron McCarthy",A16,A8 ,A19,A25,S28,S23,S20,S12,
Anthony,209,4/5,Group 2,"Maya Wang, Avery Perez, Michael Hall, Ryan Berg, Aiden Young, Isaac Schwartz",A8 ,A1 ,A24,A4 ,S11,S7 ,S21,S9 ,
Anthony,209,4/5,Group 3,"Robert Garcia, Connor Roberts, Michael White, Connor Cho, Anna Patel",A3 ,A13,A17,A8 ,S10,S25,S11,S9 ,
Anthony,209,4/5,Group 4,"Skylar Gonzalez, Robert Nguyen, Charlotte Flores, Ava Roberts, Alexander Park, Carter Huang",A8 ,A6 ,A5 ,A10,S19,S23,S29,S25,
William,214,4,Group 1,"Cameron White, Austin Olsson, William Lee, Audrey Lee, Sophia Huang, Isaac Schwartz",A1 ,A10,A3 ,A13,S5 ,S7 ,S7 ,S23,
William,214,4,Group 2,"Mason Goldberg, Nathan Campbell, Sebastian Williams, Harper Martin, Ian Gupta",A1 ,A10,A14,A3 ,S5 ,S11,S6 ,S9 ,
William,214,4,Group 3,"Maya Thompson, Theodore Huang, Daniel Goldberg, Aurora Gupta, Adam Lewis",A4 ,A14,A10,A17,S5 ,S26,S7 ,S14,S19
William,214,4,Group 4,"Ariana Hernandez, Naomi Kelly, Robert Friedman, Jackson Campbell, Victoria Singh, Hannah Hall",A14,A24,A1 ,A10,S1 ,S23,S2 ,S29,
William,214,4,Group 5,"Sebastian Garcia, Isaac Perez, Benjamin Wright, Clara Liu, Lucas Liu, Dominic O'Connor",A2 ,A14,A12,A10,S11,S23,S26,S14,
Lucas,207,4,Group 3,"Sarah Rosen, Ariana O'Connor, Kyle Scott, Charlotte Walsh",A8 ,A4 ,A10,A17,S23,S11,S1 ,S26,
Penelope,312,3,Group 1,"Austin Roberts, Dominic Young, Austin Campbell, Riley O'Brien, Claire Rosen, Robert Huang",A1 ,A4 ,A10,A13,S5 ,S10,S1 ,S23,S10
Penelope,312,3,Group 2,"Theodore Mitchell, Robert Park, Kevin Roberts, Aiden Larsson, Sophia Sharma",A10,A13,A24,A4 ,S29,S24,S19,S7 ,A18
Carter,Room 316,2,Group 1,"Adam Murphy, Penelope Cho, Grace Torres, Sophia Campbell, Sophia Murphy",A7 ,A8 ,A15,A25,S11,S21,S23,S25,
Carter,316,2,Group 2,"Dominic Green, Sebastian Wilson, Isabella Larsson, Naomi Kelly, Amelia Sharma",A11,A14,A25,A16,S1 ,S4 ,S11,S25,
Carter,316,2,Group 3,"Theodore Sanchez, David Byrne, Cameron Jones, Audrey Stern",A8 ,A11,A20,A22,S1 ,S7 ,S23,S25,
Carter,Room 316,2,Group 4,"Henry Lewis, Daniel Martinez, Paisley Gustafsson, Oliver Yang",A7 ,A8 ,A20,A25,S6 ,S11,S23,S25,
Carter,316,2,Group 5,"Luna O'Neill, Josiah Jung, Paisley Carter, Emilia Eriksson",A5 ,A16,A25,A24,S4 ,S7 ,S8 ,S25,
Henry,205,5,Group 1,"Eva Wilson, Josiah Weiss, Aiden Levy, Austin Singh, Emily O'Brien",A1 ,A10,A17,A24,S1 ,S7 ,S11,S29,
David,206,4/5,Group 1,"Connor Walker, Julia O'Connor, Sofia Gonzalez, Anna Clark, Charlotte Campbell",A4 ,A10,A24,A6 ,S23,S29,S5 ,S11,
Henry,205,5,Group 2,"Jeremiah Huang, Nicholas Flores, Aiden Lewis, Aaron Campbell, Zoey Klein, Clara Nilsson",A1 ,A10,A13,A24,S10,S14,S23,S24,S14
Luna,318,2,Group 1,"Kyle Adams, Henry Weiss, Aurora Brown, Austin Anderson",A2 ,A10,A5 ,A16,S2 ,S11,S15,S23,S15 A2
Luna,318,2,Group 2,"Clara Olsson, Elijah Thomas, Scarlett Moore, Aiden O'Brien, Gabriel Garcia",A10,A19,A24,A25,S7 ,S21,S23,S25,S15 A24
Henry,205,5,Group 3,"Paisley Walker, Amelia Clark, Isabella Patel, Hazel Larsson, Jonathan Anderson, Victoria Chen",A10,A19,A24,A25,S5 ,S11,S23,S29,
Joseph,206,4/5,Group 2,"Robert Yang, Jackson Martin, Abigail Chen, Jacob Liu, Naomi Goldberg, Jonathan Lopez",A17,A1 ,A15,A14,S6 ,S29,S5 ,S23,A17 S23
Luna,318,2,Group 3,"Ethan Garcia, Xavier Smith, Naomi Martinez, Sebastian Katz, Harper Moore, Clara Sanchez",A8 ,A10,A19,A25,S4 ,S11,S15,S23,A24
Henry,205,5,Group 4,"Maya Cohen, Owen Patel, Jonathan Mitchell, Audrey Wilson, Avery O'Neill",A10,A17,A19,A24,S9 ,S11,S23,S29,
Henry,205,5,Group 5,"Gabriel Berg, Jacob Liu, Owen Walsh, Bella Wright, Ian Allen, Jonathan O'Brien",A1 ,A8 ,A10,A17,S6 ,S11,S21,S23,
Joseph,206,4/5,Group 3,"Elijah Campbell, Charlotte Thomas, Grace Clark, Luna Carter, Bella Smith, William Kelly",A4 ,A12,A24,A8 ,S23,S2 ,S5 ,S25,A12
Luna,318,2,Group 4,"Henry Hill, Xavier Kang, Zoey Patel, Michael Katz, Riley Perez",A10,A11,A20,A19,S23,S11,S25,S18,S7
Joseph,206,4/5,Group 4,"Henry Patel, Ian Patel, Ethan Thompson, William Kumar, Skylar Thompson, Amelia Carter",A21,A10,A1 ,A14,S29,S25,S22,S20,A10
Joseph,206,4/5,Group 5,"Ruby Clark, Henry Wang, Rose Rodriguez, Harper Martinez, Michael Johnson, Adrian Cohen",A10,A14,A1 ,A17,S11,S14,S29,S15,S6
Joseph,206,4/5,Group 6,"Charlotte Hill, James Martin, Lucy Gustafsson, Lily Scott, Layla Nelson, Dylan Schwartz",A10,A5 ,A17,A1 ,S11,S9 ,S1 ,S29,
Noah,314,2,Group 1,"Sophia Choi, Scarlett Lee, Layla Levy, Austin Sullivan",A8 ,A10,A24,A22,S4 ,S25,S15,S21,
Noah,314,2,Group 2,"Alice White, Mason Svensson, Skylar Eriksson, Julia Allen",A10,A25,A5 ,A24,S11,S25,S23,S24,S24
Noah,314,2,Group 3,"Connor Schwartz, Michael Thompson, Charlotte Davis, Ruby Davis",A25,A24,A10,A3 ,S11,S1 ,S23,S25,S11
Noah,314,2,Group 4,"Sebastian Thompson, Victoria Sharma, Jeremiah Kang, Eva King",A10,A25,A14,A7 ,S1 ,S23,S6 ,S21,A14
Noah,314,2,Group 5,"Henry Rodriguez, Claire Goldberg, Nora White, Sebastian Baker",A14,A16,A25,A24,S11,S23,S28,S25,
Penelope,312,3,Group 3,"Nicholas Brown, Ella Sanchez, Eva Park, Chloe Jones, Harper Miller",A13,A4 ,A25,A24,S5 ,S9 ,S19,S20,
Penelope,312,3,Group 4,"Nova Thompson, Henry Kang, Oliver Hernandez, Xavier Larsson, Gabriel Karlsson, Thomas Scott",A24,A3 ,A13,A14,S19,S29,S15,S11,
Anthony,209,4/5,Group 5,"Alice Young, Jackson Park, Eva O'Neill, Josiah Zhang, Lucas Sullivan",A10,A21,A8 ,A13,S1 ,S11,S29,S23,
Oliver,110,K,Group 1,"Kyle Harris, Luke Flores, Harper O'Connor, Jeremiah Roberts, Lucas Jones",A8 ,A2 ,A6 ,A22,S11,S22,S7 ,S24,
Oliver,110,K,Group 2,"Aurora Smith, Zoey King, Kevin Cho, Audrey Goldberg, Aurora Levy",A10,A9 ,A25,A20,S7 ,S4 ,S12,S28,
Oliver,110,K,Group 3,"Alice Lee, Carter Nilsson, James Nelson, Thomas Davis, Theodore Walker",A22,A20,A7 ,A16,S11,S8 ,S24,S27,S11
Oliver,110,K,Group 4,"Evelyn Torres, Audrey Roberts, Nicholas Torres, Hazel Klein, Hazel Gustafsson, Sebastian Sullivan",A7 ,A9 ,A11,A15,S11,S28,S25,S15,
Grace,1,K,Group 1,"Luna Kumar, Mia Levy, Victoria Gustafsson, Kevin Zhang",A16,A9 ,A7 ,A8 ,S1 ,S12,S24,S15,S22
Grace,1,K,Group 2,"Josiah Olsson, Michael Martin, Thomas Patel, Penelope Wang",A11,A14,A15,A7 ,S4 ,S18,S11,S25,
Grace,1,K,Group 3,"Avery Karlsson, Avery Stern, Luke Byrne, Xavier O'Connor",A16,A7 ,A9 ,A15,S3 ,S7 ,S18,S21,
Grace,1,K,Group 4,"Audrey Harris, David Schwartz, Robert Holm, Ava Clark, Henry Byrne",A3 ,A9 ,A22,A2 ,S8 ,S11,S3 ,S22,
Grace,1,K,Group 5,"Ava Torres, Jeremiah Wang, Hannah Rodriguez, Scarlett Liu",A5 ,A11,A14,A25,S28,S7 ,S2 ,S1 ,
Jack,5,K,Group 1,"Oliver Ryan, Layla Byrne, Mason Rivera, Owen Goldberg",A7 ,A11,A16,A22,S18,S28,S4 ,S15,
Jack,5,K,Group 2,"Elijah Wright, Violet Hall, David Li, Kevin Karlsson",A11,A7 ,A22,A25,S27,S12,S28,S22,S18
Jack,5,K,Group 3,"Kyle Cohen, William Young, Hazel Murphy, Caleb Hall, Claire Karlsson",A7 ,A11,A2 ,A22,S28,S18,S21,S1 ,
Jack,5,K,Group 4,"Scarlett Nguyen, Ariana Nelson, Eleanor McCarthy, Aaron Roberts",A11,A7 ,A6 ,A9 ,S12,S18,S8 ,S24,A15
Jack,5,K,Group 5,"Evelyn Martin, Eleanor Scott, Eleanor Harris, Benjamin Hernandez, Caleb Clark",A11,A7 ,A15,A9 ,S28,S27,S3 ,S18,
Michael,310,3,Group 1,"Luke Davis, Eli Davis, Austin Ramirez, Matthew Gonzalez, Sofia Jones",A3 ,A14,A17,A24,S7 ,S13,S28,S25,S13
Michael,310,3,Group 2,"Violet Lee, Jonathan Scott, Abigail Green, Mia Klein, Joseph Brown, Julia Ryan",A8 ,A5 ,A1 ,A14,S1 ,S5 ,S7 ,S11,
Michael,310,3,Group 3,"Hannah Clark, Dominic Wu, Skylar Williams, Emilia Hall, David Berg",A1 ,A10,A12,A14,S1 ,S24,S11,S29,
Michael,310,3,Group 4,"Kevin Mitchell, Bella Shah, Mia O'Neill, Sofia Robinson, Elizabeth Robinson",A1 ,A10,A17,A24,S5 ,S10,S23,S3 ,
Olivia,203,5,Group 3,"Abigail Jones, Penelope Eriksson, Ryan Shah, Scarlett Harris, Oliver Kim",A8 ,A5 ,A1 ,A24,S23,S1 ,S14,S11,S1
Olivia,203,5,Group 4,"James Perez, Kevin Adams, Lucas Levy, Penelope King, Lily Weiss",A14,A24,A3 ,A10,S11,S23,S1 ,S26,A24
Olivia,203,5,Group 2,"Mason Robinson, Bella Davis, Aaron Ryan, Ryan King",A21,A2 ,A13,A14,S11,S5 ,S23,S1 ,
Olivia,203,5,Group 1,"Michael Smith, Xavier Gustafsson, Skylar Zhang, Alice Murphy, David Campbell",A24,A4 ,A5 ,A14,S29,S10,S19,S2 ,
Olivia,203,5,Group 5,"Lily Yang, Michael Johnson, Sofia Schwartz, Elijah Kim",A24,A8 ,A5 ,A10,S11,S10,S23,S1 ,
Liam,3,K,Group 1,"Maya Lee, Lucas Carter, Aaron Perez, Xavier Rodriguez",A2 ,A3 ,A7 ,A6 ,S1 ,S2 ,S3 ,S4 ,
Liam,3,K,Group 2,"Nicholas Nilsson, Grace Scott, Maya Cohen, Paisley Anderson, Ian Torres",A3 ,A10,A11,A14,S6 ,S8 ,S15,S21,S11
Liam,3,K,Group 3,"Austin Nelson, Elijah Brown, Elizabeth Walsh, Sofia Perez, Riley Kang",A15,A16,A22,A19,S28,S27,S23,S24,
Liam,3,K,Group 4,"Hazel Anderson, Violet Lee, Nova Thompson, Alexander Miller",A3 ,A10,A11,A19,S1 ,S12,S8 ,S22,
James,212,3,Group 1,"Luna Carter, Lily Green, Ava Wang, Adam Weiss, Joseph Thompson",A8 ,A2 ,A4 ,A25,S11,S25,S29,S23,
James,202,3,Group 2,"Nathan Eriksson, Harper Kumar, Harper Rodriguez, Lucas Li, Amelia Chen, Thomas Martin",A8 ,A4 ,A14,A19,S11,S19,S5 ,S29,
James,202,3,Group 3,"Skylar Johnson, Harper White, Cameron King, Alexander Scott, Evelyn Hill",A2 ,A14,A25,A24,S29,S7 ,S6 ,S5 ,
James,202,3,Group 4,"Lucy Karlsson, Oliver Jung, Bella Adams, Kevin Murphy, Bella Carter",A1 ,A6 ,A24,A8 ,S6 ,S7 ,S5 ,S23,
Liam,3,K,Group 5,"Caleb O'Brien, Hannah Goldberg, Lucas Carter, Adrian Chen",A9 ,A16,A25,A10,S24,S11,S4 ,S28,
